Index_BR,Year_BR,IM_GDP_P_BR,IM_Growth_P_BR,IM_BoP_BR,IM_dll_BR,IM_Services_dll_BR,IM_Goods_dll_BR,EX_GDP_P_BR,EX_Growth_P_BR,EX_BoP_BR,EX_dll_BR,EX_Services_dll_BR,EX_Goods_dll_BR,GDP_PPP_BR,GDP_Growth_P_BR,Country_BR
20,1980,11.3058,0.6767,27826000000.0,26571483279.6605,4871000000.0,22955000000.0,9.0527,22.6143,21869000000.0,21276141967.6084,1737000000.0,20132000000.0,9.111,0.0,BR
21,1981,9.7994,-12.3571,27229000000.0,25827534749.1203,5138000000.0,22091000000.0,9.4204,21.3203,25541000000.0,24828388398.9376,2265000000.0,23276000000.0,-4.3934,0.0,BR
22,1982,8.2745,-6.031,24792000000.0,23307743170.8143,5397000000.0,19395000000.0,7.6097,-9.1911,21982000000.0,21435129573.2899,1809000000.0,20173000000.0,0.5802,0.0,BR
23,1983,9.0083,-17.4328,19560000000.0,18314364418.7078,4131000000.0,15429000000.0,11.4218,14.3321,23622000000.0,23221079048.8769,1724000000.0,21898000000.0,-3.4098,0.0,BR
24,1984,7.9244,-2.9412,17612000000.0,16563864377.3291,3696000000.0,13916000000.0,13.5476,21.9546,28949000000.0,28317692072.5525,1947000000.0,27002000000.0,5.2691,0.0,BR
25,1985,7.0953,0.0,16958000000.0,15818492271.929,3790000000.0,13168000000.0,12.248,7.0267,27720000000.0,27305943051.3526,2086000000.0,25634000000.0,7.9459,0.0,BR
26,1986,6.3546,28.6798,18433000000.0,17038985216.6532,4389000000.0,14044000000.0,8.8166,-10.5806,24164000000.0,23640556197.1808,1816000000.0,22348000000.0,7.9883,0.0,BR
27,1987,6.1927,-2.9438,19368000000.0,18211636976.1514,4316000000.0,15052000000.0,9.4599,19.2353,28162000000.0,27820190044.6057,1952000000.0,26210000000.0,3.5996,0.0,BR
28,1988,5.6925,-1.1265,19907000000.0,18807996682.1739,5302000000.0,14605000000.0,10.8882,13.079,36052000000.0,35974382968.3631,2279000000.0,33773000000.0,-0.1027,0.0,BR
29,1989,5.4613,8.9395,24180000000.0,23242900390.625,5917000000.0,18263000000.0,8.9296,5.0855,37507000000.0,38004000000.0,3132000000.0,34375000000.0,3.2795,0.0,BR
30,1990,6.9618,10.0664,28184000000.0,32160000000.0,7523000000.0,20661000000.0,8.2,-4.9219,35170000000.0,37880000000.0,3762000000.0,31408000000.0,-3.1024,6701.209,BR
